p bs_error_test bs_bias bs_var bs_lmb 
1 1.2933e-03 1.2931e-03 2.3504e-07 3.1623e-06 
2 6.0689e-04 6.0668e-04 2.1484e-07 3.1623e-01 
3 5.1656e-04 5.1629e-04 2.6177e-07 1.0000e-04 
4 5.0165e-04 5.0128e-04 3.6892e-07 3.1623e-04 
5 4.7094e-04 4.7045e-04 4.8935e-07 1.0000e-04 
6 4.0511e-04 4.0453e-04 5.7894e-07 3.1623e-06 
7 3.4844e-04 3.4789e-04 5.4635e-07 1.0000e-06 
8 3.2865e-04 3.2812e-04 5.2850e-07 1.0000e-06 
9 3.1173e-04 3.1120e-04 5.3026e-07 1.0000e-06 
10 3.0120e-04 3.0061e-04 5.8953e-07 1.0000e-06 
11 2.9824e-04 2.9759e-04 6.4270e-07 1.0000e-06 
12 2.9637e-04 2.9572e-04 6.4440e-07 1.0000e-06 
13 2.9314e-04 2.9251e-04 6.3311e-07 1.0000e-06 
14 2.8813e-04 2.8752e-04 6.1244e-07 1.0000e-06 
15 2.8208e-04 2.8146e-04 6.1729e-07 1.0000e-06 
16 2.7597e-04 2.7536e-04 6.1466e-07 1.0000e-06 
17 2.7087e-04 2.7026e-04 6.0850e-07 1.0000e-06 
18 2.6741e-04 2.6676e-04 6.5093e-07 1.0000e-06 
19 2.6511e-04 2.6444e-04 6.6669e-07 1.0000e-06 
20 2.6374e-04 2.6301e-04 7.3133e-07 1.0000e-06 
