p bs_error_test bs_bias bs_var bs_lmb 
1 1.3363e-03 1.3361e-03 2.4151e-07 1.9307e-06 
2 6.2337e-04 6.2316e-04 2.1058e-07 1.9307e-06 
3 5.3701e-04 5.3676e-04 2.5742e-07 1.0000e-06 
4 5.2196e-04 5.2159e-04 3.7012e-07 1.0000e-06 
5 5.0660e-04 5.0623e-04 3.6225e-07 1.0000e-06 
6 4.9543e-04 4.9502e-04 4.0209e-07 1.0000e-06 
7 4.8740e-04 4.8700e-04 4.0623e-07 1.0000e-06 
8 4.7946e-04 4.7903e-04 4.2782e-07 1.0000e-06 
9 4.6301e-04 4.6254e-04 4.6759e-07 1.0000e-06 
10 4.5083e-04 4.5037e-04 4.5911e-07 1.0000e-06 
11 4.4105e-04 4.4058e-04 4.7166e-07 1.0000e-06 
12 4.3657e-04 4.3611e-04 4.5730e-07 1.0000e-06 
13 4.3535e-04 4.3486e-04 4.9411e-07 1.0000e-06 
14 4.3388e-04 4.3336e-04 5.1610e-07 1.0000e-06 
15 4.3207e-04 4.3158e-04 4.8723e-07 1.0000e-06 
16 4.3075e-04 4.3028e-04 4.6727e-07 1.0000e-06 
17 4.2882e-04 4.2831e-04 5.1305e-07 1.0000e-06 
18 4.2563e-04 4.2511e-04 5.2164e-07 1.0000e-06 
19 4.2194e-04 4.2142e-04 5.1899e-07 1.0000e-06 
20 4.1793e-04 4.1741e-04 5.2005e-07 1.0000e-06 
