p bs_error_test bs_bias bs_var bs_lmb 
1 1.3126e-03 1.3124e-03 2.4168e-07 0.0000e+00 
2 6.3121e-04 6.3101e-04 2.0621e-07 0.0000e+00 
3 5.4691e-04 5.4664e-04 2.6516e-07 0.0000e+00 
4 5.3036e-04 5.2998e-04 3.7737e-07 0.0000e+00 
5 4.9662e-04 4.9616e-04 4.5604e-07 0.0000e+00 
6 4.3082e-04 4.3024e-04 5.7530e-07 0.0000e+00 
7 3.6900e-04 3.6842e-04 5.7617e-07 0.0000e+00 
8 3.3355e-04 3.3298e-04 5.7261e-07 0.0000e+00 
9 3.1882e-04 3.1804e-04 7.7887e-07 0.0000e+00 
10 3.1097e-04 3.1016e-04 8.1507e-07 0.0000e+00 
11 2.7779e-04 2.7691e-04 8.8387e-07 0.0000e+00 
12 2.6181e-04 2.6075e-04 1.0597e-06 0.0000e+00 
13 2.3394e-04 2.3266e-04 1.2847e-06 0.0000e+00 
14 2.1627e-04 2.1478e-04 1.4885e-06 0.0000e+00 
15 1.8897e-04 1.8675e-04 2.2239e-06 0.0000e+00 
16 1.6515e-04 1.6286e-04 2.2984e-06 0.0000e+00 
17 1.4206e-04 1.3977e-04 2.2965e-06 0.0000e+00 
18 1.2573e-04 1.2356e-04 2.1731e-06 0.0000e+00 
19 1.0993e-04 1.0820e-04 1.7351e-06 0.0000e+00 
20 1.0021e-04 9.8271e-05 1.9364e-06 0.0000e+00 
