p bs_error_test bs_bias bs_var 
1 2.9598e-02 2.9488e-02 1.1044e-04 
2 1.9165e-02 1.9045e-02 1.2045e-04 
3 1.1295e-02 1.1174e-02 1.2187e-04 
4 6.6078e-03 6.4755e-03 1.3224e-04 
5 5.2869e-03 5.1343e-03 1.5254e-04 
6 4.3115e-03 4.1136e-03 1.9794e-04 
7 3.7792e-03 3.4997e-03 2.7951e-04 
8 4.3559e-03 3.6359e-03 7.2007e-04 
9 4.2535e-03 3.6061e-03 6.4746e-04 
10 6.7333e-03 4.3875e-03 2.3458e-03 
11 5.3588e-03 3.3000e-03 2.0588e-03 
12 1.0814e-02 5.1996e-03 5.6140e-03 
13 5.1574e-02 1.1788e-02 3.9786e-02 
14 2.0139e-01 3.7332e-02 1.6406e-01 
15 1.3289e+00 2.9724e-01 1.0316e+00 
16 2.2142e+00 9.5505e-02 2.1187e+00 
17 1.2498e+01 3.8944e-02 1.2459e+01 
18 1.3190e+02 6.6368e+00 1.2527e+02 
19 1.9110e+03 2.9899e+01 1.8811e+03 
20 4.1147e+03 4.2146e+02 3.6933e+03 
