p bs_error_test bs_bias bs_var 
1 2.4507e-02 2.4344e-02 1.6211e-04 
2 1.4780e-02 1.4581e-02 1.9878e-04 
3 1.0285e-02 1.0106e-02 1.7881e-04 
4 6.4816e-03 6.2715e-03 2.1015e-04 
5 4.8508e-03 4.6746e-03 1.7619e-04 
6 4.9139e-03 4.6638e-03 2.5015e-04 
7 5.4215e-03 4.4654e-03 9.5615e-04 
8 5.1032e-03 4.0135e-03 1.0897e-03 
9 1.1489e-02 6.5949e-03 4.8940e-03 
10 2.5518e-02 9.5324e-03 1.5985e-02 
11 6.5671e-02 5.4353e-03 6.0236e-02 
12 3.5337e-01 2.0617e-02 3.3275e-01 
13 5.7342e-01 7.9591e-03 5.6546e-01 
14 7.2889e+01 1.0793e+00 7.1810e+01 
15 2.7270e+02 2.7628e+01 2.4507e+02 
16 7.2033e+03 5.8064e+00 7.1975e+03 
17 2.1203e+04 1.0987e+03 2.0104e+04 
18 4.6894e+06 8.5188e+04 4.6042e+06 
19 1.0108e+07 9.5640e+04 1.0013e+07 
20 3.7248e+07 1.1602e+03 3.7247e+07 
