p bs_error_test bs_bias bs_var 
1 2.0197e-02 2.0053e-02 1.4346e-04 
2 1.1546e-02 1.1387e-02 1.5950e-04 
3 5.8816e-03 5.7366e-03 1.4497e-04 
4 2.8361e-03 2.7094e-03 1.2673e-04 
5 1.5511e-03 1.4817e-03 6.9461e-05 
6 1.0076e-03 9.3143e-04 7.6167e-05 
7 7.1081e-04 6.0663e-04 1.0418e-04 
8 8.7062e-04 6.4479e-04 2.2583e-04 
9 4.1304e-03 1.5547e-03 2.5757e-03 
10 7.2283e-03 2.4428e-03 4.7855e-03 
11 2.6176e-03 3.3173e-04 2.2859e-03 
12 1.1389e-01 1.7050e-02 9.6837e-02 
13 1.1930e-01 2.3278e-03 1.1697e-01 
14 1.3740e-01 4.7247e-03 1.3268e-01 
15 3.0549e+00 3.5391e-01 2.7010e+00 
16 7.4591e+00 8.5692e-01 6.6021e+00 
17 5.0874e+01 1.4323e+00 4.9441e+01 
18 1.2424e+02 1.4359e-01 1.2410e+02 
19 8.7006e+02 3.3746e+01 8.3631e+02 
20 2.1997e+03 9.8993e+01 2.1007e+03 
