p bs_error_test bs_bias bs_var 
1 2.9600e-02 2.9498e-02 1.0265e-04 
2 1.9168e-02 1.9029e-02 1.3827e-04 
3 1.1299e-02 1.1175e-02 1.2384e-04 
4 6.6669e-03 6.5230e-03 1.4387e-04 
5 5.3279e-03 5.1594e-03 1.6851e-04 
6 4.3384e-03 4.1228e-03 2.1560e-04 
7 3.6918e-03 3.4591e-03 2.3269e-04 
8 4.0360e-03 3.5995e-03 4.3657e-04 
9 4.3655e-03 3.5879e-03 7.7756e-04 
10 5.9259e-03 4.0024e-03 1.9235e-03 
11 7.5568e-03 3.4557e-03 4.1012e-03 
12 1.2467e-02 5.2667e-03 7.2006e-03 
13 9.1224e-02 1.3205e-02 7.8019e-02 
14 2.2816e-01 2.7342e-02 2.0082e-01 
15 1.9029e+00 3.8388e-01 1.5191e+00 
16 1.0135e+01 5.0202e-01 9.6329e+00 
17 6.5410e+01 1.6575e+00 6.3752e+01 
18 1.2000e+02 1.2905e+01 1.0710e+02 
19 8.9117e+02 7.2479e-01 8.9045e+02 
20 1.7845e+03 5.1020e+01 1.7335e+03 
