p bs_error_test bs_bias bs_var 
1 2.8328e-02 2.8229e-02 9.8346e-05 
2 1.7387e-02 1.7289e-02 9.8902e-05 
3 9.3081e-03 9.2183e-03 8.9779e-05 
4 4.5317e-03 4.4491e-03 8.2582e-05 
5 2.9088e-03 2.8351e-03 7.3705e-05 
6 1.7678e-03 1.6708e-03 9.7022e-05 
7 1.0726e-03 9.8033e-04 9.2279e-05 
8 1.2474e-03 9.4369e-04 3.0375e-04 
9 9.4772e-04 6.9351e-04 2.5421e-04 
10 1.4907e-03 9.2418e-04 5.6656e-04 
11 1.0597e-03 4.0732e-04 6.5241e-04 
12 2.0559e-03 9.4327e-04 1.1126e-03 
13 2.0050e-03 5.3658e-04 1.4684e-03 
14 4.0265e-03 4.6652e-04 3.5599e-03 
15 1.5681e-02 3.4435e-03 1.2238e-02 
16 1.9354e-02 3.0983e-03 1.6255e-02 
17 4.1147e-02 4.8142e-04 4.0665e-02 
18 1.5363e-01 3.8958e-02 1.1467e-01 
19 4.6453e-01 2.9911e-02 4.3462e-01 
20 8.4039e-01 2.2799e-03 8.3811e-01 
