p bs_error_test bs_bias bs_var 
1 2.4507e-02 2.4344e-02 1.6211e-04 
2 1.4782e-02 1.4592e-02 1.9005e-04 
3 1.0270e-02 1.0091e-02 1.7880e-04 
4 6.4617e-03 6.2651e-03 1.9659e-04 
5 4.8345e-03 4.6636e-03 1.7091e-04 
6 4.9560e-03 4.6747e-03 2.8129e-04 
7 4.8866e-03 4.4351e-03 4.5153e-04 
8 5.0469e-03 4.0265e-03 1.0204e-03 
9 1.3115e-02 6.9456e-03 6.1699e-03 
10 3.6531e-02 1.0380e-02 2.6151e-02 
11 8.9352e-02 5.0032e-03 8.4349e-02 
12 1.8733e+00 1.5507e-01 1.7182e+00 
13 2.7777e+00 2.3169e-02 2.7545e+00 
14 1.0512e+01 2.4038e-02 1.0488e+01 
15 6.1905e+02 1.8154e+01 6.0090e+02 
16 6.4232e+04 3.3273e+02 6.3899e+04 
17 5.3766e+04 1.1388e+02 5.3652e+04 
18 9.9357e+05 4.1638e+03 9.8940e+05 
19 1.0075e+07 6.7236e+05 9.4027e+06 
20 1.1734e+08 2.5345e+06 1.1481e+08 
