p bs_error_test bs_bias bs_var 
1 2.4507e-02 2.4344e-02 1.6211e-04 
2 1.4782e-02 1.4592e-02 1.9005e-04 
3 1.0270e-02 1.0091e-02 1.7880e-04 
4 6.4617e-03 6.2651e-03 1.9659e-04 
5 4.8345e-03 4.6636e-03 1.7091e-04 
6 9.2856e-03 4.9734e-03 4.3122e-03 
7 8.5298e-03 4.4795e-03 4.0503e-03 
8 8.2477e-03 3.9214e-03 4.3263e-03 
9 1.9804e-02 7.5644e-03 1.2240e-02 
10 4.7149e-02 9.1947e-03 3.7955e-02 
11 4.6929e-02 3.9711e-03 4.2958e-02 
12 1.6062e+00 9.8868e-02 1.5074e+00 
13 3.0357e+00 2.0172e-02 3.0155e+00 
14 1.0160e+01 2.8604e-02 1.0131e+01 
15 5.9677e+02 1.7506e+01 5.7927e+02 
16 7.5289e+04 4.2559e+02 7.4864e+04 
17 5.6051e+04 1.5581e+02 5.5896e+04 
18 1.5760e+06 3.9785e+03 1.5720e+06 
19 2.9824e+07 2.3446e+06 2.7479e+07 
20 2.0816e+08 4.2084e+06 2.0395e+08 
