p bs_error_test bs_bias bs_var 
1 2.9603e-02 2.9501e-02 1.0169e-04 
2 1.9133e-02 1.9006e-02 1.2725e-04 
3 1.1316e-02 1.1185e-02 1.3140e-04 
4 6.6132e-03 6.4771e-03 1.3605e-04 
5 5.3391e-03 5.1681e-03 1.7095e-04 
6 4.3145e-03 4.0902e-03 2.2431e-04 
7 3.7041e-03 3.4702e-03 2.3384e-04 
8 4.1588e-03 3.5744e-03 5.8435e-04 
9 4.4184e-03 3.6054e-03 8.1298e-04 
10 6.4121e-03 4.1814e-03 2.2307e-03 
11 5.9267e-03 3.2973e-03 2.6295e-03 
12 1.4032e-02 5.3476e-03 8.6847e-03 
13 7.3909e-02 1.3294e-02 6.0615e-02 
14 3.6235e-01 2.5738e-02 3.3662e-01 
15 1.0789e+00 2.0874e-01 8.7011e-01 
16 3.1253e+00 8.3706e-02 3.0416e+00 
17 1.7578e+01 2.4648e-02 1.7553e+01 
18 1.5369e+02 5.4443e+00 1.4824e+02 
19 6.9240e+03 3.8992e+00 6.9201e+03 
20 5.4607e+03 1.6785e+02 5.2929e+03 
