p bs_error_test bs_bias bs_var bs_lmb 
1 2.4481e-02 2.4325e-02 1.5536e-04 1.2915e-05 
2 1.4861e-02 1.4684e-02 1.7705e-04 1.2915e-05 
3 1.0343e-02 1.0147e-02 1.9682e-04 4.6416e-05 
4 6.4476e-03 6.2576e-03 1.9003e-04 1.0000e-06 
5 4.7848e-03 4.6506e-03 1.3427e-04 1.0000e-06 
6 4.6897e-03 4.5415e-03 1.4828e-04 1.0000e-06 
7 4.5933e-03 4.4341e-03 1.5921e-04 1.0000e-06 
8 4.6187e-03 4.4560e-03 1.6262e-04 1.0000e-06 
9 4.6449e-03 4.4604e-03 1.8453e-04 1.0000e-06 
10 4.7169e-03 4.5263e-03 1.9065e-04 1.0000e-06 
11 4.7549e-03 4.5422e-03 2.1272e-04 1.0000e-06 
12 4.8027e-03 4.5619e-03 2.4072e-04 1.0000e-06 
13 4.8368e-03 4.5934e-03 2.4340e-04 1.0000e-06 
14 4.8261e-03 4.5862e-03 2.3988e-04 1.0000e-06 
15 4.8263e-03 4.5741e-03 2.5224e-04 1.0000e-06 
16 4.7786e-03 4.5209e-03 2.5771e-04 1.0000e-06 
17 4.7888e-03 4.5364e-03 2.5233e-04 1.0000e-06 
18 4.7927e-03 4.4916e-03 3.0114e-04 1.0000e-06 
19 4.7451e-03 4.4735e-03 2.7158e-04 1.0000e-06 
20 4.8041e-03 4.5164e-03 2.8777e-04 1.0000e-06 
